first_name,middle_name,last_name,alien_number,date_of_birth,country_of_birth,facility_name,facility_location,custody_status,last_updated
ELDER,HERNANDEZ,MATIAS,A215508231,1971-04-29,Chile,Orange County Jail,"Orlando, FL",Awaiting Hearing,2025-08-28 23:32:49
ELDER,,PEREZ-GARCIA,A926532294,1970-04-27,Brazil,Miami Processing Center,"Miami, FL",Awaiting Hearing,2025-08-28 23:32:49
ELDER,,SANCHEZ-GABRIEL,A712066092,1997-12-20,Bolivia,Florida State Prison,"Starke, FL",Awaiting Deportation,2025-08-28 23:32:49
ELEUTERIO,,MURLLO-GOMEZ,A843073984,1991-02-13,Venezuela,Alligator Alcatraz Detention Center,"Everglades, FL",In Detention,2025-08-28 23:32:49
ELIEBER,BATISTA DA,SILVA,A235431158,1995-08-31,Nicaragua,Orange County Jail,"Orlando, FL",Awaiting Deportation,2025-08-28 23:32:49
ELMAR,,RABANALES-ORIALVA,A119455573,2003-04-26,Panama,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Hearing,2025-08-28 23:32:49
ELMER,,RAMIREZ-MARTIN,A834067891,1978-11-18,Bolivia,Alligator Alcatraz Detention Center,"Everglades, FL",Processing,2025-08-28 23:32:49
ELMER,,SANCHEZ-LOPEZ,A788872560,2005-04-18,Argentina,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Hearing,2025-08-28 23:32:49
ELOY,,MONDRAGON-MERCADO,A506955180,1972-10-16,Panama,Orange County Jail,"Orlando, FL",Awaiting Deportation,2025-08-28 23:32:49
ELTON,,PEREZ-FRANCO,A273475600,2004-11-12,Argentina,Broward Transitional Center,"Pembroke Pines, FL",Released on Bond,2025-08-28 23:32:49
ELVIN,MURCIA,POSADAS,A718046948,1998-10-10,Bolivia,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Deportation,2025-08-28 23:32:49
EMIGDIO,,ROBLERO-PEREZ,A692495069,1962-12-28,Guatemala,Palm Beach County Jail,"West Palm Beach, FL",In Detention,2025-08-28 23:32:49
ENED,,DUVELSAINT,A738883086,1983-05-25,Guatemala,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Hearing,2025-08-28 23:32:49
ENRICO,MENDES PRAXEDES,SAAD,A827265688,1985-03-12,Ecuador,Orange County Jail,"Orlando, FL",Awaiting Deportation,2025-08-28 23:32:49
ENRIQUE,ARCE,DIAZ,A624018570,1972-10-20,Peru,Alligator Alcatraz Detention Center,"Everglades, FL",Released on Bond,2025-08-28 23:32:49
ENRIQUE,,LUC-YAT,A73473847,1994-04-15,Colombia,Miami Processing Center,"Miami, FL",Processing,2025-08-28 23:32:49
ENZO,,ASPITE-ARVELAEZ,A281553664,1999-10-20,El Salvador,Orange County Jail,"Orlando, FL",In Detention,2025-08-28 23:32:49
ERASMO,,PEREZ-GODINEZ,A533732186,1993-08-09,El Salvador,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Hearing,2025-08-28 23:32:49
ERBYN,,AGUILAR-LUMBI,A280799786,1972-05-30,Costa Rica,Palm Beach County Jail,"West Palm Beach, FL",In Detention,2025-08-28 23:32:49
ERICK,CARLOS ARTILES,RAMOS,A338069152,1964-11-02,Mexico,Miami Processing Center,"Miami, FL",Awaiting Deportation,2025-08-28 23:32:49
ERLIN,,CRUZ,A187545684,2001-05-01,Venezuela,Broward Transitional Center,"Pembroke Pines, FL",In Detention,2025-08-28 23:32:49
ERNEST,,BROWN,A782533370,1992-07-15,Mexico,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Hearing,2025-08-28 23:32:49
ERNESTO,ALEJANDRO NOA,LEYVA,A128502481,1987-10-29,Mexico,Florida State Prison,"Starke, FL",Awaiting Deportation,2025-08-28 23:32:49
ERNESTO,,PEREZ-LOPEZ,A186501439,2003-05-19,Guatemala,Florida State Prison,"Starke, FL",Processing,2025-08-28 23:32:49
EROS,GUILLEN,MARQUEZ,A999148160,1973-10-23,Colombia,Florida State Prison,"Starke, FL",Processing,2025-08-28 23:32:49
ERROL,,GREEN,A226038266,2001-02-25,Mexico,Broward Transitional Center,"Pembroke Pines, FL",In Detention,2025-08-28 23:32:49
ERVIN,GOMEZ,ROBLERO,A522431368,1963-02-07,El Salvador,Alligator Alcatraz Detention Center,"Everglades, FL",Released on Bond,2025-08-28 23:32:49
ERVIN,HUN,POOU,A531002273,1986-04-30,Ecuador,Miami Processing Center,"Miami, FL",Released on Bond,2025-08-28 23:32:49
ESAU,SOSA,VARGAS,A748131405,1969-12-25,Nicaragua,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Deportation,2025-08-28 23:32:49
ESPIRIL,,GOMEZ-VASQUEZ,A970918481,1970-09-19,Costa Rica,Florida State Prison,"Starke, FL",In Detention,2025-08-28 23:32:49
ESTEBAN,,SUAREZ-MELENDEZ,A583486087,1986-04-02,Ecuador,Miami Processing Center,"Miami, FL",Released on Bond,2025-08-28 23:32:49
EUGENIO,DOUQUESNE,MILLET,A16103287,2005-07-16,Chile,Orange County Jail,"Orlando, FL",Awaiting Hearing,2025-08-28 23:32:49
EVEDARDO,,MENENDEZ,A961005925,2003-08-18,Bolivia,Florida State Prison,"Starke, FL",Released on Bond,2025-08-28 23:32:49
EVELIO,MENDEZ,CINTO,A857171357,1997-08-15,Nicaragua,Florida State Prison,"Starke, FL",Awaiting Hearing,2025-08-28 23:32:49
EVGENII,,DIDERIKHS,A79510856,1960-11-25,Colombia,Florida State Prison,"Starke, FL",Processing,2025-08-28 23:32:49
EYNER,PEREZ,MARTINEZ,A94835744,1975-03-06,Guatemala,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Deportation,2025-08-28 23:32:49
FABIO,,ARAGAO-TAVARES,A853900068,1979-01-31,Colombia,Miami Processing Center,"Miami, FL",Processing,2025-08-28 23:32:49
FAUSTINO,,RUANO-GONZALEZ,A90807058,1961-04-06,Venezuela,Miami Processing Center,"Miami, FL",Awaiting Hearing,2025-08-28 23:32:49
FAUSTO,,AGUILAR-AGUILAR,A713448721,1998-02-27,Chile,Florida State Prison,"Starke, FL",Released on Bond,2025-08-28 23:32:49
FAVIAN,,MORALES-MARCOS,A12954239,1992-10-27,Chile,Broward Transitional Center,"Pembroke Pines, FL",Released on Bond,2025-08-28 23:32:49
FEDERICO,,CARRILLO-SALES,A19793933,1978-08-18,El Salvador,Alligator Alcatraz Detention Center,"Everglades, FL",In Detention,2025-08-28 23:32:49
FEQUIERE,,PHILISTIN,A828128639,1970-11-03,Mexico,Florida State Prison,"Starke, FL",Released on Bond,2025-08-28 23:32:49
FERNANDO,CHAIRES,ESTRADA,A793784145,1995-07-01,Panama,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Hearing,2025-08-28 23:32:49
FERNANDO,EDUARDO,ARTESE,A515545521,1989-05-23,Panama,Palm Beach County Jail,"West Palm Beach, FL",Released on Bond,2025-08-28 23:32:49
FERNANDO,,LOPEZ-ORTIZ,A862806672,1996-05-19,Chile,Florida State Prison,"Starke, FL",Released on Bond,2025-08-28 23:32:49
FIDEL,HERNANDEZ,RIZO,A993980201,1998-09-27,Panama,Miami Processing Center,"Miami, FL",Released on Bond,2025-08-28 23:32:49
FIDEL,,PEREZ-BARRIOS,A959491932,1983-06-07,Costa Rica,Orange County Jail,"Orlando, FL",Awaiting Deportation,2025-08-28 23:32:49
FLAVIO,,HERNANDEZ-RUIZ,A189650673,1965-09-25,Honduras,Florida State Prison,"Starke, FL",In Detention,2025-08-28 23:32:49
FRANCISCO,,BARAJOS-GARCIA,A992236793,1995-04-07,Chile,Palm Beach County Jail,"West Palm Beach, FL",Released on Bond,2025-08-28 23:32:49
FRANCISCO,GARCIA,RUJANO,A223791551,1968-12-14,Bolivia,Orange County Jail,"Orlando, FL",Awaiting Hearing,2025-08-28 23:32:49
FRANCISCO,HERNANDEZ,HERRERA,A769408452,1970-11-28,Bolivia,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Hearing,2025-08-28 23:32:49
FRANCISCO,,HERNANDEZ-GARCIA,A252975537,2007-03-14,El Salvador,Alligator Alcatraz Detention Center,"Everglades, FL",Processing,2025-08-28 23:32:49
FRANCISCO,,LEDEZMA-CASTILLO,A254835144,1989-02-19,Guatemala,Florida State Prison,"Starke, FL",Awaiting Deportation,2025-08-28 23:32:49
FRANCISCO,,MEJIA,A647689912,1966-09-23,Guatemala,Broward Transitional Center,"Pembroke Pines, FL",In Detention,2025-08-28 23:32:49
FRANCISCO,MENDEZ,REYES,A666755965,1966-11-02,Chile,Miami Processing Center,"Miami, FL",Released on Bond,2025-08-28 23:32:49
FRANCISCO,,PACHECO-JIMENEZ,A769901357,2004-09-16,Brazil,Alligator Alcatraz Detention Center,"Everglades, FL",Released on Bond,2025-08-28 23:32:49
FRANCISCO,,RIOS-CRUZ,A459676571,1999-05-16,Argentina,Florida State Prison,"Starke, FL",Awaiting Hearing,2025-08-28 23:32:49
FRANCISCO,VILORIO,MORLA,A317022756,1985-01-06,Venezuela,Palm Beach County Jail,"West Palm Beach, FL",In Detention,2025-08-28 23:32:49
FRANCK,,DESCOLLINES,A640222532,2004-11-29,Honduras,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Hearing,2025-08-28 23:32:49
FRANCO,ANTONIO MORALES,ESPINOZA,A523327933,2007-02-21,Honduras,Palm Beach County Jail,"West Palm Beach, FL",Released on Bond,2025-08-28 23:32:49
FRANK,ANTONIO,BENJAMIN-CONCEPCION,A520498534,2000-12-20,Peru,Miami Processing Center,"Miami, FL",Processing,2025-08-28 23:32:49
FRANK,GONZALEZ,CUSTODIO,A678632991,2000-07-23,Brazil,Alligator Alcatraz Detention Center,"Everglades, FL",In Detention,2025-08-28 23:32:49
FRANK,,JIMENEZ-DOMINGUEZ,A795218135,2002-07-22,Argentina,Palm Beach County Jail,"West Palm Beach, FL",Processing,2025-08-28 23:32:49
FREDLY,,FORESTAL,A199836208,1962-02-05,Bolivia,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Deportation,2025-08-28 23:32:49
FREDY,SANTOS,AGUILAR,A152684577,2000-12-12,Peru,Florida State Prison,"Starke, FL",Processing,2025-08-28 23:32:49
GABRIEL,ALEJANDRO HERRERA,TORREALBA,A570535097,1982-04-18,El Salvador,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Deportation,2025-08-28 23:32:49
GABRIEL,,HERNANDEZ-ROGEL,A162561926,1966-08-28,Bolivia,Miami Processing Center,"Miami, FL",Awaiting Hearing,2025-08-28 23:32:49
GABRIEL,,SANCHEZ-GATICA,A862965675,1998-05-29,Ecuador,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Deportation,2025-08-28 23:32:49
GABRIEL,,SOTO-GUZMAN,A532042992,1986-01-24,El Salvador,Florida State Prison,"Starke, FL",In Detention,2025-08-28 23:32:49
GABRIEL,,TRIMMINGHAM,A305869800,1975-08-21,Honduras,Florida State Prison,"Starke, FL",In Detention,2025-08-28 23:32:49
GAD,GOLDSTEIN,VALDEZ,A36329250,1975-07-19,Ecuador,Miami Processing Center,"Miami, FL",In Detention,2025-08-28 23:32:49
GARRY,,LEANDRE,A150705308,1979-02-13,Ecuador,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Deportation,2025-08-28 23:32:49
GASPAR,PEREZ,JIMENEZ,A283071238,1973-05-20,Peru,Florida State Prison,"Starke, FL",Awaiting Deportation,2025-08-28 23:32:49
GENDERLING,RAYO,TREMINIO,A815764850,2000-09-17,Mexico,Florida State Prison,"Starke, FL",Processing,2025-08-28 23:32:49
GENURO,,SANCHEZ-LOPEZ,A734923861,1976-04-21,Bolivia,Orange County Jail,"Orlando, FL",Processing,2025-08-28 23:32:49
GERALDO,OJEDA,MONTIEL,A243510564,1992-02-01,Argentina,Florida State Prison,"Starke, FL",Awaiting Deportation,2025-08-28 23:32:49
GERARDO,RODRIGUEZ,REYES,A730278539,1961-03-28,El Salvador,Miami Processing Center,"Miami, FL",Awaiting Hearing,2025-08-28 23:32:49
GERMAN,,GONZALES-SERRANO,A242681409,1969-03-28,Bolivia,Miami Processing Center,"Miami, FL",Released on Bond,2025-08-28 23:32:49
GERSON,CATUN,CHEN,A299981152,1965-12-02,Ecuador,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Deportation,2025-08-28 23:32:49
GERSON,,TELLEZ-CHAVEZ,A400760705,1984-12-05,Peru,Miami Processing Center,"Miami, FL",In Detention,2025-08-28 23:32:49
GESER,,SUAZO-SUAZO,A427643521,1974-06-06,Ecuador,Florida State Prison,"Starke, FL",Awaiting Hearing,2025-08-28 23:32:49
GEYSER,SALAS,GARCIA,A382063585,1983-10-12,Nicaragua,Alligator Alcatraz Detention Center,"Everglades, FL",In Detention,2025-08-28 23:32:49
GIANCARLOS,,JEREZ-QUITIAN,A502473902,1978-03-19,Mexico,Alligator Alcatraz Detention Center,"Everglades, FL",Processing,2025-08-28 23:32:49
GILBERT,,CASTOR,A166988724,1965-02-08,Brazil,Palm Beach County Jail,"West Palm Beach, FL",In Detention,2025-08-28 23:32:49
GILBERTO,,PEREZ-SANCHEZ,A299644994,1972-09-28,Costa Rica,Orange County Jail,"Orlando, FL",In Detention,2025-08-28 23:32:49
GILERTO,,GUZMAN-DELACRUZ,A301294743,1974-04-24,Nicaragua,Alligator Alcatraz Detention Center,"Everglades, FL",In Detention,2025-08-28 23:32:49
GILFREDO,,CARVAJAL-CABANA,A870371204,1998-10-05,Argentina,Florida State Prison,"Starke, FL",Released on Bond,2025-08-28 23:32:49
GIOVANNI,,NAVA-HERNANDEZ,A823066765,1962-05-15,Brazil,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Hearing,2025-08-28 23:32:49
GONZALO,,BARTOLO-JIMENEZ,A950490248,1971-03-18,Mexico,Palm Beach County Jail,"West Palm Beach, FL",Processing,2025-08-28 23:32:49
GORGONO,SANCHEZ,SALES,A495390727,2001-05-01,Mexico,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Hearing,2025-08-28 23:32:49
GUILANO,GUSTAVO LIMA,ANAISSI,A339610027,1995-06-13,Honduras,Orange County Jail,"Orlando, FL",Awaiting Deportation,2025-08-28 23:32:49
GUSTAVO,ALEJANDRO EUSEBIO,VASQUEZ,A708212970,1972-03-17,Panama,Palm Beach County Jail,"West Palm Beach, FL",Processing,2025-08-28 23:32:49
GUSTAVO,ARTURO,PUERTA,A771159721,1966-04-25,El Salvador,Florida State Prison,"Starke, FL",In Detention,2025-08-28 23:32:49
GUSTAVO,SANTES,SANTES,A175784137,1991-05-12,Peru,Palm Beach County Jail,"West Palm Beach, FL",Released on Bond,2025-08-28 23:32:49
GUSTAVO,VASQUEZ,MATAMOROS,A854939910,1969-08-22,Chile,Palm Beach County Jail,"West Palm Beach, FL",In Detention,2025-08-28 23:32:49
GUSTAVO,,VICTORIANO-HERNANDEZ,A280660857,1961-04-07,Bolivia,Miami Processing Center,"Miami, FL",Released on Bond,2025-08-28 23:32:49
HAIRON,LAZARO CUETO,ACOSTA,A469478149,2003-10-14,Bolivia,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Deportation,2025-08-28 23:32:49
HARI,,KONERU,A670217988,1981-10-11,Nicaragua,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Hearing,2025-08-28 23:32:49
HARTIN,,ESCORCIA-MARTINEZ,A869838105,1968-03-18,Honduras,Palm Beach County Jail,"West Palm Beach, FL",Processing,2025-08-28 23:32:49
HAZAEL,DIAZ,RAMIREZ,A128252567,1985-07-07,Nicaragua,Florida State Prison,"Starke, FL",Awaiting Deportation,2025-08-28 23:32:49
HEBER,,GOMEZ-MORALES,A457827585,1986-07-02,El Salvador,Orange County Jail,"Orlando, FL",In Detention,2025-08-28 23:32:49
HECTOR,ESPINOSA,CASTRO,A331838959,1989-06-15,Nicaragua,Miami Processing Center,"Miami, FL",Processing,2025-08-28 23:32:49
HECTOR,,GUZMAN-MENDEZ,A790315916,1986-05-29,Nicaragua,Florida State Prison,"Starke, FL",In Detention,2025-08-28 23:32:49
HECTOR,,LOPEZ-HERNANDEZ,A594324242,1970-02-04,Nicaragua,Orange County Jail,"Orlando, FL",In Detention,2025-08-28 23:32:49
HECTOR,MARRERO,PEREZ,A992325116,1992-06-30,Brazil,Miami Processing Center,"Miami, FL",Awaiting Deportation,2025-08-28 23:32:49
HECTOR,,RAMIREZ-TREJO,A250430198,1985-12-14,El Salvador,Miami Processing Center,"Miami, FL",Awaiting Hearing,2025-08-28 23:32:49
HECTOR,,ROA-RAMOS,A983919628,1975-03-19,Brazil,Miami Processing Center,"Miami, FL",In Detention,2025-08-28 23:32:49
HENRY,,LEIVA-SANCHEZ,A763581783,2006-02-03,Colombia,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Hearing,2025-08-28 23:32:49
HERDNAN,,MORALES-ESPINOSA,A659429171,2004-12-01,Brazil,Broward Transitional Center,"Pembroke Pines, FL",Processing,2025-08-28 23:32:49
HERNAN,,BACAJOL-NIMAJUAN,A58792817,2005-06-26,Bolivia,Florida State Prison,"Starke, FL",Awaiting Deportation,2025-08-28 23:32:49
HERNAN,CALVO,BUENO,A681475432,1999-03-16,Bolivia,Miami Processing Center,"Miami, FL",Released on Bond,2025-08-28 23:32:49
HONORIO,,TAX-CHAMORRO,A21380825,1973-12-02,Nicaragua,Orange County Jail,"Orlando, FL",In Detention,2025-08-28 23:32:49
HUGO,CHAN,RAFAEL,A834961705,1976-11-13,Venezuela,Orange County Jail,"Orlando, FL",Processing,2025-08-28 23:32:49
IANVARBEK,,MILDZIKHOV,A451089743,2003-05-30,Peru,Miami Processing Center,"Miami, FL",In Detention,2025-08-28 23:32:49
IGOMAR,DE OLIVERA,SANTOS,A795238258,1985-08-07,Argentina,Florida State Prison,"Starke, FL",Awaiting Deportation,2025-08-28 23:32:49
IMRAN,,RZAEV,A560102392,1960-09-14,Venezuela,Broward Transitional Center,"Pembroke Pines, FL",Processing,2025-08-28 23:32:49
INAL,,SEKOV,A536361624,1997-09-28,Brazil,Florida State Prison,"Starke, FL",Awaiting Hearing,2025-08-28 23:32:49
ISABEL,,VASQUEZ-RAMOS,A960717602,1980-11-17,Peru,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Hearing,2025-08-28 23:32:49
ISIDRO,HERNANDEZ,HUITZILAC,A85140735,1988-04-18,Brazil,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Hearing,2025-08-28 23:32:49
ISIDRO,MENDOZA,FLORES,A702484066,1980-12-20,Mexico,Florida State Prison,"Starke, FL",Awaiting Deportation,2025-08-28 23:32:49
ISMAEL,,RODRIGUEZ-LOPEZ,A520303872,1970-04-11,Guatemala,Florida State Prison,"Starke, FL",Awaiting Deportation,2025-08-28 23:32:49
ISMAEL,,RUIZ-BAUTISTA,A481739731,2000-01-30,Chile,Florida State Prison,"Starke, FL",Processing,2025-08-28 23:32:49
ISRAEL,AGUILAR,MARTINEZ,A517565604,1962-09-18,Colombia,Florida State Prison,"Starke, FL",In Detention,2025-08-28 23:32:49
ISRAEL,NOPAL,CRUZ,A945586679,1978-01-31,Peru,Alligator Alcatraz Detention Center,"Everglades, FL",Released on Bond,2025-08-28 23:32:49
ISRAEL,SANCHEZ,GABRIEL,A482572650,1985-11-18,Chile,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Deportation,2025-08-28 23:32:49
IVAN,ESTEBAN,LOPEZ,A476051995,2003-10-02,Venezuela,Miami Processing Center,"Miami, FL",Awaiting Deportation,2025-08-28 23:32:49
IVAN,,MONCADA,A180092503,1976-01-08,Guatemala,Palm Beach County Jail,"West Palm Beach, FL",Processing,2025-08-28 23:32:49
IVANHOE,,SMESTER,A264085598,1985-02-27,Chile,Palm Beach County Jail,"West Palm Beach, FL",In Detention,2025-08-28 23:32:49
JACINTO,,BRITO-COBO,A81603773,1995-11-15,Nicaragua,Orange County Jail,"Orlando, FL",Released on Bond,2025-08-28 23:32:49
JACINTO,PABLO,PABLO,A220861125,1972-11-14,Mexico,Miami Processing Center,"Miami, FL",Processing,2025-08-28 23:32:49
JADER,,DIAZ-FLORES,A619018712,1980-06-11,Panama,Miami Processing Center,"Miami, FL",In Detention,2025-08-28 23:32:49
JADER,LOPEZ,SOZA,A333206054,1982-11-13,Mexico,Florida State Prison,"Starke, FL",Processing,2025-08-28 23:32:49
JAINS,,JAVIER-CERVANTES,A74746018,2005-04-18,Peru,Miami Processing Center,"Miami, FL",Released on Bond,2025-08-28 23:32:49
JAIRO,CINTO,RUIZ,A305687486,2000-02-20,Bolivia,Broward Transitional Center,"Pembroke Pines, FL",Released on Bond,2025-08-28 23:32:49
JAMES,,BEDOYA-GOMEZ,A952979575,2007-07-25,Ecuador,Orange County Jail,"Orlando, FL",Processing,2025-08-28 23:32:49
JAMES,,PINEDA,A127028365,1982-10-06,Guatemala,Palm Beach County Jail,"West Palm Beach, FL",Released on Bond,2025-08-28 23:32:49
JASON,,MONROE,A875625731,1976-11-03,Mexico,Orange County Jail,"Orlando, FL",Processing,2025-08-28 23:32:49
JAVIER,FLORES,SOLORZANO,A568275123,1970-08-24,Panama,Orange County Jail,"Orlando, FL",Released on Bond,2025-08-28 23:32:49
JAVIER,,OCHOA-PITA,A603265326,1999-01-12,Costa Rica,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Deportation,2025-08-28 23:32:49
JAYBER,SANCHEZ,ARIAS,A206280766,1985-04-29,Argentina,Palm Beach County Jail,"West Palm Beach, FL",Released on Bond,2025-08-28 23:32:49
JEAN,,CHARLES,A872681102,1985-12-29,Brazil,Palm Beach County Jail,"West Palm Beach, FL",Processing,2025-08-28 23:32:49
JEREMI,GONZALEZ,MARVAL,A524990977,1987-07-18,Colombia,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Hearing,2025-08-28 23:32:49
JEREMIAS,RAMIREZ,SANCHEZ,A764808007,2004-05-07,Peru,Broward Transitional Center,"Pembroke Pines, FL",In Detention,2025-08-28 23:32:49
JERSON,MURELLO,FRANCO,A690194389,1974-05-08,Ecuador,Orange County Jail,"Orlando, FL",Awaiting Deportation,2025-08-28 23:32:49
JERSOV,MANRIQUE,GUTIERREZ,A821004576,1994-02-06,Panama,Miami Processing Center,"Miami, FL",Awaiting Hearing,2025-08-28 23:32:49
JESUS,,AGUILAR-RAMIREZ,A71471101,1990-07-27,Mexico,Miami Processing Center,"Miami, FL",Released on Bond,2025-08-28 23:32:49
JESUS,,BARBEITO,A19388292,1990-10-18,Peru,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Hearing,2025-08-28 23:32:49
JESUS,DIAZ,MONTEJO,A352817191,1997-04-05,Peru,Orange County Jail,"Orlando, FL",Awaiting Deportation,2025-08-28 23:32:49
JESUS,,RAMIREZ-TORRES,A75582889,1976-09-17,El Salvador,Florida State Prison,"Starke, FL",Released on Bond,2025-08-28 23:32:49
JESUS,,RUIZ-HERNANDEZ,A563240789,1983-01-06,Nicaragua,Florida State Prison,"Starke, FL",Awaiting Deportation,2025-08-28 23:32:49
JESUS,,SALDANA,A75045567,1976-06-14,Venezuela,Florida State Prison,"Starke, FL",Processing,2025-08-28 23:32:49
JESUS,,VARGAS-DOMINGO,A135922866,1971-04-29,El Salvador,Palm Beach County Jail,"West Palm Beach, FL",Processing,2025-08-28 23:32:49
JEYSSON,VARGAS,QUINTERO,A653076290,2003-01-09,Guatemala,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Hearing,2025-08-28 23:32:49
JHON,LONDONO,MORALES,A318605566,1965-04-16,Panama,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Deportation,2025-08-28 23:32:49
JHON,MARTINEZ,GAMARRA,A533113682,1975-07-24,Bolivia,Palm Beach County Jail,"West Palm Beach, FL",Released on Bond,2025-08-28 23:32:49
JHON,PALENCIA,PARRA,A920415736,1990-05-13,Bolivia,Orange County Jail,"Orlando, FL",Awaiting Hearing,2025-08-28 23:32:49
JHON,,VILLAMIL-LAMPREA,A74405984,2004-02-26,Chile,Palm Beach County Jail,"West Palm Beach, FL",In Detention,2025-08-28 23:32:49
JHONATHAN,,CHAVEZ,A383815916,1962-06-06,Honduras,Palm Beach County Jail,"West Palm Beach, FL",Released on Bond,2025-08-28 23:32:49
JOAO,MOTA ALVES DOS,SANTOS,A255141941,1969-04-06,El Salvador,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Deportation,2025-08-28 23:32:49
JOAQUIN,MORALES,SURIANO,A811612287,1993-03-10,Argentina,Broward Transitional Center,"Pembroke Pines, FL",Released on Bond,2025-08-28 23:32:49
JOEL,AVILA,ZALDIVAR,A407257007,1963-11-22,El Salvador,Palm Beach County Jail,"West Palm Beach, FL",In Detention,2025-08-28 23:32:49
JOEL,GARZON,BELTRAN,A734946008,1961-08-30,Ecuador,Orange County Jail,"Orlando, FL",Awaiting Deportation,2025-08-28 23:32:49
JOEL,,MANCILLAS-VELASCO,A354012030,1976-08-17,Honduras,Florida State Prison,"Starke, FL",Awaiting Hearing,2025-08-28 23:32:49
JOFRAN,,SANCHEZ-ANGULO,A539156332,1969-12-29,Panama,Miami Processing Center,"Miami, FL",Processing,2025-08-28 23:32:49
JOHN,CARLOS VARGAS,SOLARTE,A742243977,2004-02-25,Chile,Orange County Jail,"Orlando, FL",Released on Bond,2025-08-28 23:32:49
JOHN,,HERNANDEZ-QUINTANA,A538366313,1984-01-05,El Salvador,Broward Transitional Center,"Pembroke Pines, FL",Released on Bond,2025-08-28 23:32:49
JOHNATHAN,RIVERA,MARINO,A223522817,1997-09-08,Peru,Florida State Prison,"Starke, FL",Released on Bond,2025-08-28 23:32:49
JOHNROSS,,GORDON,A47647599,2004-05-17,El Salvador,Alligator Alcatraz Detention Center,"Everglades, FL",Released on Bond,2025-08-28 23:32:49
JONATHAN,CHAVERO,GARCIA,A702658993,1973-09-29,Nicaragua,Alligator Alcatraz Detention Center,"Everglades, FL",In Detention,2025-08-28 23:32:49
JONATHAN,,PEREZ-FELIPE,A416655313,1968-12-09,El Salvador,Florida State Prison,"Starke, FL",Awaiting Hearing,2025-08-28 23:32:49
JONATHAN,,RAMREZ-ARAUZ,A894795361,2002-09-22,Ecuador,Miami Processing Center,"Miami, FL",Awaiting Hearing,2025-08-28 23:32:49
JORDAN,AGUILAR,CLAUDIO,A787055364,1971-07-05,Ecuador,Palm Beach County Jail,"West Palm Beach, FL",Processing,2025-08-28 23:32:49
JORDIN,,CASTILLO-MARQUEZ,A998225627,1969-08-23,Colombia,Orange County Jail,"Orlando, FL",Released on Bond,2025-08-28 23:32:49
JORGE,ALBERTO,MORAN-SALGUERO,A970123686,1966-10-31,Colombia,Miami Processing Center,"Miami, FL",Awaiting Hearing,2025-08-28 23:32:49
JORGE,,ALDAO-GALLARDO,A632063740,1964-06-19,Honduras,Orange County Jail,"Orlando, FL",Awaiting Deportation,2025-08-28 23:32:49
JORGE,,ANGELES-LINARES,A498552066,1991-06-27,Colombia,Orange County Jail,"Orlando, FL",Awaiting Deportation,2025-08-28 23:32:49
JORGE,CALDERIN,HALLUM,A915031571,1963-05-19,El Salvador,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Hearing,2025-08-28 23:32:49
JORGE,,DELGADO-CERVANTES,A200539991,1971-04-22,Peru,Alligator Alcatraz Detention Center,"Everglades, FL",In Detention,2025-08-28 23:32:49
JORGE,ENRIQUE OSORNIO,SAAVEDRA,A859356353,1962-03-24,Bolivia,Palm Beach County Jail,"West Palm Beach, FL",In Detention,2025-08-28 23:32:49
JORGE,GARCIA,MOLINA,A952608545,1989-01-26,Honduras,Palm Beach County Jail,"West Palm Beach, FL",Released on Bond,2025-08-28 23:32:49
JORGE,GARCIA,RODRIGUEZ,A987582776,1969-06-13,Honduras,Florida State Prison,"Starke, FL",In Detention,2025-08-28 23:32:49
